"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 09:16:27 GMT 2024","Sun Nov 17 09:16:27 GMT 2024","109","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sun Nov 17 09:16:37 GMT 2024","Sun Nov 17 09:16:40 GMT 2024","2737","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sun Nov 17 09:15:57 GMT 2024","Sun Nov 17 09:15:57 GMT 2024","336","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Sun Nov 17 09:14:57 GMT 2024","Sun Nov 17 09:15:01 GMT 2024","3634","Actions","","","","",".type() - type into a DOM element",""
"passed","Sun Nov 17 09:15:46 GMT 2024","Sun Nov 17 09:15:46 GMT 2024","76","Location","","","","","cy.url() - get the current URL",""
"passed","Sun Nov 17 09:15:32 GMT 2024","Sun Nov 17 09:15:32 GMT 2024","194","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sun Nov 17 09:15:27 GMT 2024","Sun Nov 17 09:15:27 GMT 2024","96","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Sun Nov 17 09:15:37 GMT 2024","Sun Nov 17 09:15:37 GMT 2024","83","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Sun Nov 17 09:15:36 GMT 2024","Sun Nov 17 09:15:36 GMT 2024","210","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Sun Nov 17 09:16:25 GMT 2024","Sun Nov 17 09:16:25 GMT 2024","228","Traversal","","","","",".children() - get child DOM elements",""
"passed","Sun Nov 17 09:16:13 GMT 2024","Sun Nov 17 09:16:13 GMT 2024","203","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Sun Nov 17 09:15:51 GMT 2024","Sun Nov 17 09:15:51 GMT 2024","87","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Sun Nov 17 09:16:27 GMT 2024","Sun Nov 17 09:16:27 GMT 2024","104","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sun Nov 17 09:16:27 GMT 2024","Sun Nov 17 09:16:27 GMT 2024","99","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Sun Nov 17 09:16:08 GMT 2024","Sun Nov 17 09:16:08 GMT 2024","256","Querying","","","","","cy.get() - query DOM elements",""
"passed","Sun Nov 17 09:15:08 GMT 2024","Sun Nov 17 09:15:08 GMT 2024","150","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sun Nov 17 09:15:02 GMT 2024","Sun Nov 17 09:15:02 GMT 2024","405","Actions","","","","",".submit() - submit a form",""
"passed","Sun Nov 17 09:15:52 GMT 2024","Sun Nov 17 09:15:52 GMT 2024","87","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Nov 17 09:15:14 GMT 2024","Sun Nov 17 09:15:15 GMT 2024","367","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Sun Nov 17 09:15:37 GMT 2024","Sun Nov 17 09:15:37 GMT 2024","95","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Sun Nov 17 09:16:26 GMT 2024","Sun Nov 17 09:16:26 GMT 2024","102","Traversal","","","","",".last() - get last DOM element",""
"passed","Sun Nov 17 09:15:02 GMT 2024","Sun Nov 17 09:15:04 GMT 2024","1869","Actions","","","","",".click() - click on a DOM element",""
